# Neanderthal Introgression — Adaptive Segments (Low / Medium / High)
# -----------------------------------------------------------
# Segments the genome into contiguous regions of constant introgression class
# based on per-SNP frequencies, limited to pilot-mask intervals (≤1 kb gaps bridged).
#
# Each row = one genomic segment.
# -----------------------------------------------------------
# Definitions:
# - Frequencies are SNP-level proportions (0–1).
# - introgression (per SNP):
#       'low'     → FREQ < 0.001
#       'medium'  → 0.001 ≤ FREQ < 0.1
#       'high'    → FREQ ≥ 0.1
# - Adjacent SNPs with the same class form one segment.
# - Segments are created only within bridged pilot-mask intervals.
#
# Formulas:
# - START_POS = first SNP position in segment
# - END_POS   = last SNP position in segment
# - Length    = END_POS - START_POS + 1
# -----------------------------------------------------------
# Columns:
# CHROM               → Chromosome number (1–22)
# START_POS           → Start coordinate (1-based, inclusive)
# END_POS             → End coordinate (1-based, inclusive)
# Length              → Segment length in base pairs (bp)
# introgression       → low / medium / high classification
# avg_freq            → Mean introgressed allele frequency across SNPs in segment
# SNP_total           → Total number of SNPs in segment
# SNP_0               → Count of SNPs with FREQ = 0 (no introgression)
# SNP_0_to_0.001      → (0, 0.001] (0.1%)
# SNP_0.001_to_0.01   → (0.001, 0.01] (1%)
# SNP_0.01_to_0.04    → (0.01, 0.04] (4%)
# SNP_higher_0.04     → > 0.04 (very high)
# -----------------------------------------------------------
# Adaptive segmentation per chromosome (1–22) using low/medium/high introgression states.
# Mask gaps ≤ 1 kb are bridged; segments do not cross unmasked regions.
# Output is tab-separated (.tsv) and includes comment header.
# -----------------------------------------------------------
# Additional annotations:
# avg_recomb_rate     → Mean recombination rate (cM/Mb) across the segment, from GLIMPSE recombination map.
# SNP_Neand_Specific  → Number of Neanderthal-specific mutation SNPs within the segment.
# -----------------------------------------------------------
# Merge step:
# - Adjacent segments are merged across mask gaps if compatible:
#     • same class (low/medium/high), or
#     • low–medium / medium–low.
# - All counts are summed; avg_freq is SNP_total-weighted; avg_recomb_rate is segment-length-weighted.
# - introgression is reassigned from merged avg_freq.
# - available_bp = (sum of component Lengths) / (END_POS - START_POS + 1).
# New columns added:
# available_bp        → Fraction of merged span covered by actual segments (0–1).
# (Existing columns retained/recomputed where applicable.)
#
# Additional columns added from 10 kb bin overlap:
# bin_low       → Number of overlapping 10 kb bins labeled 'low' (SNP_Neand_Specific == 0)
# bin_low_NSS   → Number of overlapping 10 kb bins labeled 'low' (SNP_Neand_Specific > 0)
# -----------------------------------------------------------
CHROM	START_POS	END_POS	Length	introgression	avg_freq	available_bp	avg_recomb_rate	SNP_total	SNP_0	SNP_0_to_0.001	SNP_0.001_to_0.01	SNP_0.01_to_0.04	SNP_higher_0.04	SNP_Neand_Specific	bin_low	bin_low_NSS
chr1	693731	1110924	417194	low	0.0	0.9184264394981712	1.8690096925713124	2221	2221	0	0	0	0	3	40	2
chr1	1111147	1119796	8650	high	0.0202221723076923	1.0	4.736431	65	0	0	0	65	0	10	0	0
chr1	1119858	1226651	106794	low	0.0	0.958733636721164	1.1187088876023823	692	692	0	0	0	0	1	10	0
chr1	1226690	1226690	1	high	0.0321245	1.0		1	0	0	0	1	0	1	0	0
chr1	1226757	1461041	234285	low	0.0	0.9612992722538788	0.6506294176172723	1268	1268	0	0	0	0	0	23	0
chr1	1461307	1461307	1	high	0.0154166	1.0		1	0	0	0	1	0	1	0	0
chr1	1461466	1523439	61974	low	0.0	0.9639203536967116	0.4660392704183266	270	270	0	0	0	0	1	5	0
chr1	1524081	1524081	1	high	0.0204889	1.0		1	0	0	0	1	0	1	0	0
chr1	1524437	1546304	21868	low	0.0	1.0		68	68	0	0	0	0	3	0	1
chr1	1547054	1548702	1649	high	0.0264864499999999	1.0		6	0	0	0	6	0	1	0	0
chr1	1548710	1548710	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	1548801	1557644	8844	high	0.0263689419354838	1.0		31	0	0	0	31	0	5	0	0
chr1	1557675	2368072	810398	low	7.0094576105546056e-06	0.957650438426551	1.9592603872778047	4093	4038	51	4	0	0	26	72	8
chr1	2368223	2368223	1	high	0.0134063	1.0		1	0	0	0	1	0	1	0	0
chr1	2368232	2401650	33419	medium	0.0070901742471042	0.994613842424968	2.9287318441436936	259	9	0	250	0	0	13	0	0
chr1	2401668	2401668	1	high	0.010504	1.0		1	0	0	0	1	0	1	0	0
chr1	2402005	2467723	65719	medium	0.0043761769273742	0.9639982349092348	0.0	358	1	0	357	0	0	21	0	0
chr1	2467764	2527694	59931	high	0.0154822830028327	0.9708498106155412	0.0	353	0	0	0	353	0	19	0	0
chr1	2528133	2539181	11049	low	0.0	1.0	0.0	79	79	0	0	0	0	0	0	0
chr1	2539229	2540343	1115	high	0.0201693461538461	1.0	0.0	13	0	0	0	13	0	3	0	0
chr1	2540345	2540345	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	2540364	2560939	20576	high	0.0202981599999999	1.0	0.0	95	0	0	0	95	0	7	0	0
chr1	2560975	2560975	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	2561286	2567651	6366	high	0.0202693432432432	1.0		37	0	0	0	37	0	4	0	0
chr1	2567694	2706361	138668	low	0.0	0.3675830040095768	0.0	532	532	0	0	0	0	3	8	1
chr1	2706540	2721521	14982	high	0.0200903077922077	0.9099586170070753	0.0	77	0	0	0	77	0	8	0	0
